% X,Y,Z(stage),Zmagnet,Field X (T),Field Y (T),Field Z (T),
-0.5905512,0.39370078,6.69259977,14.49259977,-0.0000324,0.00225272,0.00021665,
-0.5905512,0.39370078,6.8895998,14.6895998,-0.00005984,0.00211715,0.00020926,
-0.5905512,0.39370078,7.08640003,14.88640003,-0.00004887,0.00200513,0.00017085,
-0.5905512,0.39370078,7.28340006,15.08340006,0.00001636,0.00171206,0.00017204,
-0.5905512,0.39370078,7.48000002,15.28000002,-0.00003081,0.00161857,0.00013079,
-0.5905512,0.39370078,7.67679977,15.47679977,-0.00004856,0.00153483,0.00012577,
-0.5905512,0.39370078,7.8737998,15.6737998,-0.00001788,0.00144528,0.00007449,
-0.5905512,0.39370078,8.07059956,15.87059956,-0.00000499,0.00134444,0.00009581,
-0.5905512,0.39370078,8.26739979,16.06739979,0.00002987,0.00119581,0.00008643,
-0.5905512,0.39370078,8.46440029,16.26440029,0.00005004,0.00117353,0.00008927,
-0.5905512,0.39370078,8.66139984,16.46139984,0.00000322,0.00111134,0.00004626,
-0.5905512,0.39370078,8.8579998,16.6579998,0.00001402,0.00103589,0.00004896,
-0.5905512,0.39370078,9.05480003,#REF!,-0.00001945,0.00091604,0.00000695,
-0.5905512,0.39370078,9.25160027,17.05160027,-0.00002845,0.00089311,0.00002837,
-0.5905512,0.39370078,9.44859982,17.24859982,0.00002532,0.00084662,0.0000489,
-0.5905512,0.39370078,9.64540005,17.44540005,-0.00001254,0.00080393,0.00003512,
-0.5905512,0.39370078,9.8423996,17.6423996,0.00007834,0.00072804,0.00002513,
-0.5905512,0.39370078,10.03899956,17.83899956,-0.00003987,0.00065725,-0.00001256,
-0.5905512,0.39370078,10.23600006,18.03600006,-0.00000681,0.00065619,0.00002823,
-0.5905512,0.39370078,10.43280029,18.23280029,0.00005119,0.00057777,-0.00000094,
-0.5905512,0.39370078,10.62959957,18.42959957,0.00001074,0.00051774,-0.00002582,
-0.5905512,0.39370078,10.8263998,18.6263998,-0.00000837,0.00056106,0.00002468,
-0.5905512,0.39370078,11.02340031,18.82340031,-0.00000878,0.00059012,-0.00002536,
-0.39370078,-0.5905512,0.0002,7.8002,-0.00672654,0.13422819,-0.07374171,
