% Model:              Data taken by AP-STD
% Version:            2 mm spaced file for 2nd magnet
% Date:               Oct 26 2023           12:19
% Dimension:          3
% Nodes:              2700
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bz (T)              mfnc.By (T)              mfnc.Bx (T)
-9.000092342          -8.998410547          180.058286          0.122686545          -0.428811091          0.013344091
-8.999889711          -8.998047677          175.0577901          0.131668545          -0.500648091          0.012820091
-9.000091438          -8.998322067          170.0580908          0.135790545          -0.576514091          0.011930091
-9.000036026          -8.997991166          165.0579671          0.133674545          -0.652079091          0.011137091
-9.00017629          -8.998171348          160.0575824          0.125870545          -0.723850091          0.011087091
-8.999789917          -8.998206123          155.0583108          0.115177545          -0.788691091          0.012050091
-9.000212457          -8.998407271          150.0580275          0.103338545          -0.845190091          0.014044091
-9.000144069          -8.998413092          145.0573842          0.092598545          -0.894017091          0.016901091
-8.999975281          -8.998082589          140.0579195          0.084632545          -0.937012091          0.020588091
-8.999987529          -8.99808647          135.0582055          0.080041545          -0.975812091          0.025082091
-9.000053753          -8.998383808          130.0575138          0.078397545          -1.013493091          0.030502091
-8.99975206          -8.998268011          125.0580706          0.077973545          -1.051951091          0.036689091
-8.999775193          -8.998125088          120.0581735          0.075414545          -1.091919091          0.043415091
-9.000200552          -8.998187862          115.0581308          0.068455545          -1.129447091          0.050579091
-8.999835647          -8.998038924          110.0579565          0.057890545          -1.160235091          0.057401091
-6.999980071          -8.998171191          110.0579641          0.060263545          -1.166855091          0.048387091
